key_locality_sub_;Étiquettes de lignes;locality;Min. de prix_m2_2;Moyenne de prix_m2;Max. de prix_m2;
APARTMENTMaaseik;APARTMENT;Maaseik;1063;2803;3701;
APARTMENT_BLOCKMaaseik;APARTMENT_BLOCK;Maaseik;535;1816;3562;
DUPLEX-TRIPLEXMaaseik;DUPLEX-TRIPLEX;Maaseik;1358;2471;3380;
EXCEPTIONAL_PROPERTYMaaseik;EXCEPTIONAL_PROPERTY;Maaseik;1931;2499;3068;
FLAT_STUDIOMaaseik;FLAT_STUDIO;Maaseik;3078;3290;3469;
GROUND_FLOORMaaseik;GROUND_FLOOR;Maaseik;1762;2742;3594;
HOUSEMaaseik;HOUSE;Maaseik;495;2053;8355;
LOFTMaaseik;LOFT;Maaseik;1985;3281;4577;
MIXED_USE_BUILDINGMaaseik;MIXED_USE_BUILDING;Maaseik;771;1769;3267;
PENTHOUSEMaaseik;PENTHOUSE;Maaseik;2196;3138;4337;
SERVICE_FLATMaaseik;SERVICE_FLAT;Maaseik;3305;3538;3740;
VILLAMaaseik;VILLA;Maaseik;1106;2294;3597;
APARTMENTMarche-en-Famenne;APARTMENT;Marche-en-Famenne;1313;3028;10455;
APARTMENT_BLOCKMarche-en-Famenne;APARTMENT_BLOCK;Marche-en-Famenne;427;1362;3694;
DUPLEX-TRIPLEXMarche-en-Famenne;DUPLEX-TRIPLEX;Marche-en-Famenne;1612;1912;2233;
EXCEPTIONAL_PROPERTYMarche-en-Famenne;EXCEPTIONAL_PROPERTY;Marche-en-Famenne;907;2291;3251;
GROUND_FLOORMarche-en-Famenne;GROUND_FLOOR;Marche-en-Famenne;2087;2888;3122;
HOUSEMarche-en-Famenne;HOUSE;Marche-en-Famenne;524;1951;5369;
LOFTMarche-en-Famenne;LOFT;Marche-en-Famenne;1313;1313;1313;
MIXED_USE_BUILDINGMarche-en-Famenne;MIXED_USE_BUILDING;Marche-en-Famenne;564;1099;1976;
PENTHOUSEMarche-en-Famenne;PENTHOUSE;Marche-en-Famenne;2839;4615;10455;
VILLAMarche-en-Famenne;VILLA;Marche-en-Famenne;810;2565;6071;
APARTMENTMechelen;APARTMENT;Mechelen;912;3346;5975;
APARTMENT_BLOCKMechelen;APARTMENT_BLOCK;Mechelen;1412;2964;7874;
DUPLEX-TRIPLEXMechelen;DUPLEX-TRIPLEX;Mechelen;1500;3265;6967;
EXCEPTIONAL_PROPERTYMechelen;EXCEPTIONAL_PROPERTY;Mechelen;1180;3185;5529;
FLAT_STUDIOMechelen;FLAT_STUDIO;Mechelen;3617;3869;4122;
GROUND_FLOORMechelen;GROUND_FLOOR;Mechelen;1826;3208;4412;
HOUSEMechelen;HOUSE;Mechelen;447;2399;6505;
KOTMechelen;KOT;Mechelen;5917;5932;5947;
LOFTMechelen;LOFT;Mechelen;1750;3164;3935;
MANSIONMechelen;MANSION;Mechelen;735;1989;3797;
MIXED_USE_BUILDINGMechelen;MIXED_USE_BUILDING;Mechelen;836;2044;3734;
PENTHOUSEMechelen;PENTHOUSE;Mechelen;1895;3664;6971;
SERVICE_FLATMechelen;SERVICE_FLAT;Mechelen;2075;3701;4693;
